test_loss_mean,test_loss_std,test_correlation_mean,test_correlation_std,test_mse_mean,test_mse_std,tag,test_spearman_mean,test_spearman_weighted_patent_mean,test_pearson_mean,test_spearman_std,test_pearson_std,test_spearman_weighted_patent_std
1.0286770320283525,0.2692480718206654,0.3956961146360502,0.0551672949515249,1158.2254842122395,221.922141660612,baseline,0.4098806298845259,0.4403250645956742,0.3956961234410603,0.0496867588676631,0.0551672830184945,0.0392602531291537
1.082253059472033,0.2451648952452965,0.3958576523799869,0.0562468881223943,1221.9699300130208,202.76065755235007,residual_blocks,0.4117025041222185,0.4358592448523604,0.3958576619625091,0.0525131202683204,0.0562468623150426,0.0394195476110639
1.1315275956080368,0.2761936486697791,0.3463224727976244,0.1010718883410118,1275.4965006510415,225.6715281296899,wider_seq_cnn_channels,0.3611996745314563,0.4054902236531397,0.346322496732076,0.0896727561094925,0.1010719082564481,0.0511021267348512
1.0286132100332586,0.1344251962390353,0.3862325485801067,0.0764711388988579,1168.1962483723958,72.73483104558287,long_range_skip_1to3,0.3981032070259949,0.4364795978246737,0.3862325251102447,0.0720042850853467,0.0764711136249817,0.0636419330778628
1.1133023688830244,0.286453954105641,0.3692917165881399,0.0336268151696083,1254.21728515625,233.71201476062905,longer_training_baseline,0.3831977512187729,0.4230884245570196,0.3692917128403981,0.0356037442995483,0.0336268028110179,0.0274529307201834
1.0286770320283525,0.2692480718206654,0.3956961146360502,0.0551672949515249,1158.2254842122395,221.922141660612,dropout_0.4,0.4098806298845259,0.4403250645956742,0.3956961234410603,0.0496867588676631,0.0551672830184945,0.0392602531291537
1.0668745337115255,0.2487121589884115,0.4013418801448324,0.0578200977279309,1205.0496826171875,216.19762909785933,res_blocks_longer_training,0.4066103254539324,0.4422072310620786,0.4013418654600779,0.0547135082457447,0.0578200967516392,0.0325809694245078
1.1848924624436612,0.4028736973127236,0.3224135734437515,0.1636011416718932,1348.077587890625,429.8845025914178,5_fold,0.3202380223750946,0.3976162329362154,0.322413569688797,0.1714656883437623,0.1636011364893926,0.0749489802248959
1.0286770320283525,0.2692480718206654,0.3956961146360502,0.0551672949515249,1158.2254842122395,221.922141660612,baseline,0.4098806298845259,0.4403250645956742,0.3956961234410603,0.0496867588676631,0.0551672830184945,0.0392602531291537
1.1978282088271013,0.3395007503575487,0.2994573045538901,0.1526805813805881,1364.3281860351562,358.540690811725,5_fold_res_blocks,0.2903718120379621,0.3792592736593262,0.2994572848081588,0.1561065416881267,0.1526805623409966,0.0724774360367456
1.1683490737526323,0.2746513215664323,0.3638407317669359,0.0950718312993803,1319.2826741536458,235.7087572725773,double_layers,0.3831200778412766,0.4157475594305099,0.3638407289981842,0.0905578933501215,0.0950718181309042,0.0597021372297644
0.9753412792848388,0.1773956661411901,0.4064609225497471,0.039444869108886,1104.0150349934895,123.9283171514512,layer_normalization,0.4147594255953568,0.4338875716287909,0.4064609209696452,0.0348034385815598,0.0394448602744638,0.048044840230153
1.141610626381737,0.3751001829781378,0.3411935970497979,0.1420424916255417,1299.205224609375,399.58803730105086,5_fold_layer_norm,0.3367493813743251,0.4065551684057444,0.3411936104297638,0.1416540209739189,0.1420425067347486,0.0534878917040797
0.9775459513531448,0.18795261164484783,0.40613649424944137,0.03010986728696234,1105.9932861328125,135.10068535108692,residual_connection,0.41362643472996646,0.43018996527288156,0.40613646308581036,0.024740682107562157,0.030109834553800504,0.02876443862705964
